"Rob Goedemans, Harry van der Hulst. 2013. Fixed Stress Locations."
"In: Dryer, Matthew S. & Haspelmath, Martin (eds.)"
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
"(Available online at http://wals.info/chapter/14, Accessed on 2026-08-25.)"
""
wals code,name,value,description,latitude,longitude,genus,family,area
abk,Abkhaz,1,No fixed stress,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Phonology
ace,Acehnese,7,Ultimate,5.5,95.5,Malayo-Sumbawan,Austronesian,Phonology
acg,Achagua,2,Initial,4.41666666667,-72.25,Japura-Colombia,Arawakan,Phonology
agu,Aguacatec,1,No fixed stress,15.4166666667,-91.3333333333,Mayan,Mayan,Phonology
akl,Aklanon,1,No fixed stress,11.5833333333,122.333333333,Greater Central Philippine,Austronesian,Phonology
ala,Alamblak,1,No fixed stress,-4.66666666667,143.333333333,Sepik Hill,Sepik,Phonology
alw,Alawa,6,Penultimate,-15.1666666667,134.25,Mara,Mangarrayi-Maran,Phonology
aln,Alune,6,Penultimate,-3.0,128.333333333,Central Malayo-Polynesian,Austronesian,Phonology
atq,Alutiiq,1,No fixed stress,57.0,-157.0,Eskimo,Eskimo-Aleut,Phonology
aly,Alyawarra,3,Second,-22.5,135.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
ame,Amele,1,No fixed stress,-5.25,145.583333333,Mabuso,Trans-New Guinea,Phonology
agt,Anguthimri,2,Initial,-12.3333333333,141.833333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
apu,Apurinã,1,No fixed stress,-9.0,-67.0,Purus,Arawakan,Phonology
ahs,Arabic (Bani-Hassan),1,No fixed stress,20.0,-10.0,Semitic,Afro-Asiatic,Phonology
abe,Arabic (Beirut),1,No fixed stress,33.9166666667,35.5,Semitic,Afro-Asiatic,Phonology
ael,Arabic (Eastern Libyan),1,No fixed stress,32.0,22.0,Semitic,Afro-Asiatic,Phonology
aeg,Arabic (Egyptian),1,No fixed stress,30.0,31.0,Semitic,Afro-Asiatic,Phonology
arg,Arabic (Gulf),1,No fixed stress,26.0,49.0,Semitic,Afro-Asiatic,Phonology
arh,Arabic (Hijazi),1,No fixed stress,26.0,38.0,Semitic,Afro-Asiatic,Phonology
arl,Arabic (Lebanese),1,No fixed stress,34.0,36.0,Semitic,Afro-Asiatic,Phonology
arv,Arabic (Negev),1,No fixed stress,30.5,34.75,Semitic,Afro-Asiatic,Phonology
apa,Arabic (Palestinian),1,No fixed stress,32.0,35.25,Semitic,Afro-Asiatic,Phonology
asy,Arabic (Syrian),1,No fixed stress,34.0,38.0,Semitic,Afro-Asiatic,Phonology
atb,Aralle-Tabulahan,6,Penultimate,-2.75,119.25,South Sulawesi,Austronesian,Phonology
ana,Araona,3,Second,-12.3333333333,-67.75,Tacanan,Pano-Tacanan,Phonology
arp,Arapesh (Mountain),6,Penultimate,-3.46666666667,143.166666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,1,No fixed stress,42.0,46.8333333333,Lezgic,Nakh-Daghestanian,Phonology
arm,Armenian (Eastern),1,No fixed stress,40.0,45.0,Armenian,Indo-European,Phonology
aro,Arosi,2,Initial,-10.25,161.333333333,Oceanic,Austronesian,Phonology
awe,Arrernte (Western),3,Second,-24.0,132.5,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,7,Ultimate,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Phonology
au,Au,1,No fixed stress,-3.58333333333,142.083333333,Central Wapei,Torricelli,Phonology
ava,Avar,1,No fixed stress,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awd,Awadhi,1,No fixed stress,27.5,81.5,Indic,Indo-European,Phonology
awt,Awtuw,6,Penultimate,-3.58333333333,142.0,Ram,Sepik,Phonology
aym,Aymara (Central),6,Penultimate,-17.0,-69.0,Aymaran,Aymaran,Phonology
bdm,Badimaya,2,Initial,-27.6666666667,118.0,Western Pama-Nyungan,Pama-Nyungan,Phonology
bag,Bagirmi,7,Ultimate,11.6666666667,16.0,Bongo-Bagirmi,Central Sudanic,Phonology
bgv,Bagvalal,1,No fixed stress,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
blk,Balantak,6,Penultimate,-0.833333333333,123.25,Celebic,Austronesian,Phonology
bal,Balinese,7,Ultimate,-8.33333333333,115.25,Malayo-Sumbawan,Austronesian,Phonology
bbm,Bambam,6,Penultimate,-3.08333333333,119.083333333,South Sulawesi,Austronesian,Phonology
bna,Banawá,1,No fixed stress,-7.0,-65.0,Arauan,Arauan,Phonology
bwa,Bandjalang (Waalubal),1,No fixed stress,-29.0833333333,152.583333333,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
bgg,Banggai,1,No fixed stress,-1.41666666667,123.166666667,Celebic,Austronesian,Phonology
bnl,Banggarla,5,Antepenultimate,-32.0,137.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
bnt,Bantik,6,Penultimate,1.41666666667,124.75,Sangiric,Austronesian,Phonology
bae,Baré,6,Penultimate,1.0,-67.0,Japura-Colombia,Arawakan,Phonology
bsk,Bashkir,7,Ultimate,53.0,58.0,Turkic,Altaic,Phonology
bqi,Basque (Basaburua and Imoz),1,No fixed stress,43.0,-1.66666666667,Basque,Basque,Phonology
bqb,Basque (Bidasoa Valley),3,Second,43.0,-3.83333333333,Basque,Basque,Phonology
bqg,Basque (Gernica),1,No fixed stress,43.3333333333,-3.0,Basque,Basque,Phonology
bqh,Basque (Hondarribia),1,No fixed stress,42.5,-3.0,Basque,Basque,Phonology
bql,Basque (Lekeitio),6,Penultimate,43.0,-2.5,Basque,Basque,Phonology
bqn,Basque (Northern High Navarrese),6,Penultimate,43.3333333333,-2.5,Basque,Basque,Phonology
bqo,Basque (Oñati),3,Second,42.5,-3.5,Basque,Basque,Phonology
bqr,Basque (Roncalese),6,Penultimate,43.0,-2.0,Basque,Basque,Phonology
bqs,Basque (Sakana),2,Initial,42.5,-2.0,Basque,Basque,Phonology
bso,Basque (Souletin),1,No fixed stress,43.5,-1.5,Basque,Basque,Phonology
bqz,Basque (Zeberio),1,No fixed stress,42.0,-3.0,Basque,Basque,Phonology
bkr,Batak (Karo),1,No fixed stress,3.25,98.25,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
bto,Batak (Toba),6,Penultimate,2.5,99.0,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
baw,Bawm,7,Ultimate,22.5,92.25,Kuki-Chin,Sino-Tibetan,Phonology
bej,Beja,1,No fixed stress,18.0,36.0,Beja,Afro-Asiatic,Phonology
ben,Bengali,2,Initial,24.0,90.0,Indic,Indo-European,Phonology
bma,Berber (Middle Atlas),7,Ultimate,33.0,-5.0,Berber,Afro-Asiatic,Phonology
bho,Bhojpuri,1,No fixed stress,26.0,84.0,Indic,Indo-European,Phonology
bik,Biak,6,Penultimate,-1.0,136.0,South Halmahera - West New Guinea,Austronesian,Phonology
bkl,Bikol,1,No fixed stress,13.3333333333,123.5,Greater Central Philippine,Austronesian,Phonology
bim,Bima,6,Penultimate,-8.5,118.5,Central Malayo-Polynesian,Austronesian,Phonology
bbw,Bininj Gun-Wok,2,Initial,-12.5,133.75,Marne,Gunwinyguan,Phonology
bre,Breton,6,Penultimate,48.0,-3.0,Celtic,Indo-European,Phonology
bug,Bugis,6,Penultimate,-4.0,120.0,South Sulawesi,Austronesian,Phonology
bui,Buli (in Indonesia),1,No fixed stress,1.0,128.5,South Halmahera - West New Guinea,Austronesian,Phonology
bua,Burarra,2,Initial,-12.25,134.583333333,Burarran,Mangrida,Phonology
buu,Buru,6,Penultimate,-3.5,126.5,Central Malayo-Polynesian,Austronesian,Phonology
bur,Burushaski,1,No fixed stress,36.5,74.5,Burushaski,Burushaski,Phonology
cah,Cahuilla,2,Initial,33.5,-116.25,Northern Uto-Aztecan,Uto-Aztecan,Phonology
cpa,Campa Pajonal Asheninca,1,No fixed stress,-10.6666666667,-74.25,Pre-Andine Arawakan,Arawakan,Phonology
cnl,Canela,7,Ultimate,-7.0,-45.0,Je Setentrional,Macro-Ge,Phonology
cap,Capanahua,1,No fixed stress,-7.0,-74.0,Panoan,Pano-Tacanan,Phonology
car,Carib,1,No fixed stress,5.5,-56.0,Cariban,Cariban,Phonology
ctl,Catalan,1,No fixed stress,41.75,2.0,Romance,Indo-European,Phonology
cav,Cavineña,6,Penultimate,-13.3333333333,-66.5,Tacanan,Pano-Tacanan,Phonology
cyg,Cayuga,1,No fixed stress,42.75,-76.75,Northern Iroquoian,Iroquoian,Phonology
cyv,Cayuvava,5,Antepenultimate,-13.5,-65.5,Cayuvava,Cayuvava,Phonology
ceb,Cebuano,1,No fixed stress,10.0,124.0,Greater Central Philippine,Austronesian,Phonology
cha,Chamorro,1,No fixed stress,13.45,144.75,Chamorro,Austronesian,Phonology
cya,Chatino (Yaitepec),7,Ultimate,16.25,-97.25,Zapotecan,Oto-Manguean,Phonology
cpn,Chepang,2,Initial,27.6666666667,84.75,Himalayish,Sino-Tibetan,Phonology
cle,Chinantec (Lealao),1,No fixed stress,17.3333333333,-95.9166666667,Chinantecan,Oto-Manguean,Phonology
cct,Choctaw,1,No fixed stress,32.25,-88.5,Muskogean,Muskogean,Phonology
chk,Chukchi,2,Initial,67.0,-173.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Phonology
chv,Chuvash,1,No fixed stress,55.5,47.5,Turkic,Altaic,Phonology
ccp,Cocopa,7,Ultimate,32.3333333333,-115.0,Yuman,Hokan,Phonology
cmn,Comanche,2,Initial,33.5,-101.5,Northern Uto-Aztecan,Uto-Aztecan,Phonology
coo,Coos (Hanis),1,No fixed stress,43.5,-124.166666667,Coosan,Oregon Coast,Phonology
crn,Cornish,6,Penultimate,50.3333333333,-5.0,Celtic,Indo-European,Phonology
cre,Cree (Plains),5,Antepenultimate,54.0,-110.0,Algonquian,Algic,Phonology
crk,Creek,1,No fixed stress,34.0,-85.0,Muskogean,Muskogean,Phonology
cub,Cubeo,1,No fixed stress,1.33333333333,-70.5,Tucanoan,Tucanoan,Phonology
cup,Cupeño,2,Initial,33.1666666667,-116.5,Northern Uto-Aztecan,Uto-Aztecan,Phonology
cze,Czech,2,Initial,50.0,15.0,Slavic,Indo-European,Phonology
daa,Da'a,6,Penultimate,-1.0,119.583333333,Celebic,Austronesian,Phonology
dak,Dakota,3,Second,45.0,-93.5,Mississippi Valley Siouan,Siouan,Phonology
dni,Dani (Lower Grand Valley),7,Ultimate,-4.33333333333,138.833333333,Dani,Trans-New Guinea,Phonology
dsh,Danish,1,No fixed stress,56.0,10.0,Germanic,Indo-European,Phonology
dri,Dari,7,Ultimate,35.0,66.0,Iranian,Indo-European,Phonology
des,Desano,1,No fixed stress,0.833333333333,-69.8333333333,Tucanoan,Tucanoan,Phonology
dhw,Dharawal,1,No fixed stress,-34.5,150.5,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
dhu,Dhurga,1,No fixed stress,-35.6666666667,150.0,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
die,Diegueño (Mesa Grande),1,No fixed stress,32.6666666667,-116.166666667,Yuman,Hokan,Phonology
dio,Diola-Fogny,2,Initial,13.0,-16.25,Jola,Niger-Congo,Phonology
diy,Diyari,2,Initial,-28.0,139.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
djr,Djaru,1,No fixed stress,-18.75,128.0,Western Pama-Nyungan,Pama-Nyungan,Phonology
dji,Djingili,6,Penultimate,-17.75,134.0,Djingili,Mirndi,Phonology
dob,Dobel,6,Penultimate,-6.25,134.666666667,Central Malayo-Polynesian,Austronesian,Phonology
dou,Doutai,2,Initial,-3.33333333333,138.166666667,East Tariku,Lakes Plain,Phonology
dre,Drehu,2,Initial,-21.0,167.25,Oceanic,Austronesian,Phonology
dut,Dutch,1,No fixed stress,52.5,6.0,Germanic,Indo-European,Phonology
dyi,Dyirbal,2,Initial,-17.8333333333,145.583333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
eka,Ekari,1,No fixed stress,-3.83333333333,135.5,Paniai Lakes,Trans-New Guinea,Phonology
emc,Embera Chami,1,No fixed stress,5.0,-76.0,Choco,Choco,Phonology
eno,Enggano,6,Penultimate,-5.41666666667,102.25,Enggano,Austronesian,Phonology
eng,English,1,No fixed stress,52.0,0.0,Germanic,Indo-European,Phonology
epe,Epena Pedee,1,No fixed stress,3.0,-77.0,Choco,Choco,Phonology
ese,Ese Ejja,6,Penultimate,-11.0,-66.0,Tacanan,Pano-Tacanan,Phonology
est,Estonian,2,Initial,59.0,26.0,Finnic,Uralic,Phonology
eve,Evenki,1,No fixed stress,56.0,125.0,Tungusic,Altaic,Phonology
far,Faroese,2,Initial,62.0,-7.0,Germanic,Indo-European,Phonology
fij,Fijian,1,No fixed stress,-17.8333333333,178.0,Oceanic,Austronesian,Phonology
fin,Finnish,2,Initial,62.0,25.0,Finnic,Uralic,Phonology
frd,Fordata,6,Penultimate,-6.75,131.5,Central Malayo-Polynesian,Austronesian,Phonology
for,Fore,1,No fixed stress,-6.75,145.5,Fore-Gimi,Trans-New Guinea,Phonology
fre,French,1,No fixed stress,48.0,2.0,Romance,Indo-European,Phonology
glp,Gaalpu,2,Initial,-12.6666666667,136.75,Western Pama-Nyungan,Pama-Nyungan,Phonology
gae,Gaelic (Scots),2,Initial,57.0,-4.0,Celtic,Indo-European,Phonology
gll,Galela,6,Penultimate,2.41666666667,128.333333333,North Halmaheran,North Halmaheran,Phonology
