"Rob Goedemans, Harry van der Hulst. 2013. Weight-Sensitive Stress."
"In: Dryer, Matthew S. & Haspelmath, Martin (eds.)"
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
"(Available online at http://wals.info/chapter/15, Accessed on 2026-08-25.)"
""
wals code,name,value,description,latitude,longitude,genus,family,area
dre,Drehu,8,Fixed stress (no weight-sensitivity),-21.0,167.25,Oceanic,Austronesian,Phonology
dut,Dutch,4,Right-oriented: One of the last three,52.5,6.0,Germanic,Indo-European,Phonology
dyi,Dyirbal,8,Fixed stress (no weight-sensitivity),-17.8333333333,145.583333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
eka,Ekari,1,Left-edge: First or second,-3.83333333333,135.5,Paniai Lakes,Trans-New Guinea,Phonology
emc,Embera Chami,3,Right-edge: Ultimate or penultimate,5.0,-76.0,Choco,Choco,Phonology
eno,Enggano,8,Fixed stress (no weight-sensitivity),-5.41666666667,102.25,Enggano,Austronesian,Phonology
eng,English,4,Right-oriented: One of the last three,52.0,0.0,Germanic,Indo-European,Phonology
epe,Epena Pedee,3,Right-edge: Ultimate or penultimate,3.0,-77.0,Choco,Choco,Phonology
ese,Ese Ejja,8,Fixed stress (no weight-sensitivity),-11.0,-66.0,Tacanan,Pano-Tacanan,Phonology
est,Estonian,8,Fixed stress (no weight-sensitivity),59.0,26.0,Finnic,Uralic,Phonology
eve,Evenki,3,Right-edge: Ultimate or penultimate,56.0,125.0,Tungusic,Altaic,Phonology
far,Faroese,8,Fixed stress (no weight-sensitivity),62.0,-7.0,Germanic,Indo-European,Phonology
fij,Fijian,3,Right-edge: Ultimate or penultimate,-17.8333333333,178.0,Oceanic,Austronesian,Phonology
fin,Finnish,8,Fixed stress (no weight-sensitivity),62.0,25.0,Finnic,Uralic,Phonology
frd,Fordata,8,Fixed stress (no weight-sensitivity),-6.75,131.5,Central Malayo-Polynesian,Austronesian,Phonology
for,Fore,5,Unbounded: Stress can be anywhere,-6.75,145.5,Fore-Gimi,Trans-New Guinea,Phonology
fre,French,3,Right-edge: Ultimate or penultimate,48.0,2.0,Romance,Indo-European,Phonology
glp,Gaalpu,8,Fixed stress (no weight-sensitivity),-12.6666666667,136.75,Western Pama-Nyungan,Pama-Nyungan,Phonology
gae,Gaelic (Scots),8,Fixed stress (no weight-sensitivity),57.0,-4.0,Celtic,Indo-European,Phonology
gll,Galela,8,Fixed stress (no weight-sensitivity),2.41666666667,128.333333333,North Halmaheran,North Halmaheran,Phonology
grr,Garrwa,8,Fixed stress (no weight-sensitivity),-17.0833333333,137.166666667,Garrwan,Garrwan,Phonology
gay,Gayo,3,Right-edge: Ultimate or penultimate,4.5,97.5,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
geo,Georgian,8,Fixed stress (no weight-sensitivity),42.0,44.0,Kartvelian,Kartvelian,Phonology
ger,German,4,Right-oriented: One of the last three,52.0,10.0,Germanic,Indo-European,Phonology
gid,Gidabal,8,Fixed stress (no weight-sensitivity),-28.4166666667,152.416666667,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
god,Godoberi,5,Unbounded: Stress can be anywhere,42.6666666667,46.0833333333,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
goo,Gooniyandi,8,Fixed stress (no weight-sensitivity),-18.3333333333,126.333333333,Bunuban,Bunuban,Phonology
gor,Gorowa,5,Unbounded: Stress can be anywhere,-4.5,36.5,Southern Cushitic,Afro-Asiatic,Phonology
grb,Grebo,7,Not predictable,5.0,-8.0,Kru,Niger-Congo,Phonology
grk,Greek (Modern),8,Fixed stress (no weight-sensitivity),39.0,22.0,Greek,Indo-European,Phonology
grw,Greenlandic (West),8,Fixed stress (no weight-sensitivity),64.0,-51.0,Eskimo,Eskimo-Aleut,Phonology
gua,Guaraní,8,Fixed stress (no weight-sensitivity),-26.0,-56.0,Maweti-Guarani,Tupian,Phonology
gug,Gugada,8,Fixed stress (no weight-sensitivity),-30.0,134.0,Western Pama-Nyungan,Pama-Nyungan,Phonology
guj,Gujarati,3,Right-edge: Ultimate or penultimate,23.0,72.0,Indic,Indo-European,Phonology
guu,Guugu Yimidhirr,8,Fixed stress (no weight-sensitivity),-15.0,144.833333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
hno,Haida (Northern),5,Unbounded: Stress can be anywhere,54.0,-132.5,Haida,Haida,Phonology
hln,Halang,8,Fixed stress (no weight-sensitivity),14.5,107.5,Bahnaric,Austro-Asiatic,Phonology
hnn,Hanunóo,8,Fixed stress (no weight-sensitivity),12.3333333333,121.25,Greater Central Philippine,Austronesian,Phonology
haw,Hawaiian,8,Fixed stress (no weight-sensitivity),19.5833333333,-155.5,Oceanic,Austronesian,Phonology
heb,Hebrew (Modern),8,Fixed stress (no weight-sensitivity),31.5,34.8333333333,Semitic,Afro-Asiatic,Phonology
hin,Hindi,4,Right-oriented: One of the last three,25.0,77.0,Indic,Indo-European,Phonology
hix,Hixkaryana,7,Not predictable,-1.0,-59.0,Cariban,Cariban,Phonology
hop,Hopi,1,Left-edge: First or second,36.0,-110.0,Northern Uto-Aztecan,Uto-Aztecan,Phonology
htc,Huastec,5,Unbounded: Stress can be anywhere,22.0833333333,-99.3333333333,Mayan,Mayan,Phonology
hmu,Huitoto (Muinane),8,Fixed stress (no weight-sensitivity),-2.41666666667,-71.0,Witoto,Witotoan,Phonology
hun,Hungarian,8,Fixed stress (no weight-sensitivity),47.0,20.0,Ugric,Uralic,Phonology
hzb,Hunzib,3,Right-edge: Ultimate or penultimate,42.1666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
iaa,Iaai,8,Fixed stress (no weight-sensitivity),-20.4166666667,166.583333333,Oceanic,Austronesian,Phonology
ice,Icelandic,8,Fixed stress (no weight-sensitivity),65.0,-17.0,Germanic,Indo-European,Phonology
ind,Indonesian,8,Fixed stress (no weight-sensitivity),0.0,106.0,Malayo-Sumbawan,Austronesian,Phonology
iga,Inga,3,Right-edge: Ultimate or penultimate,1.0,-77.0,Quechuan,Quechuan,Phonology
ing,Ingush,8,Fixed stress (no weight-sensitivity),43.1666666667,45.0833333333,Nakh,Nakh-Daghestanian,Phonology
irq,Iraqw,6,Combined: Right-edge and unbounded,-4.0,35.5,Southern Cushitic,Afro-Asiatic,Phonology
irr,Irarutu,8,Fixed stress (no weight-sensitivity),-3.0,133.5,South Halmahera - West New Guinea,Austronesian,Phonology
iri,Irish,8,Fixed stress (no weight-sensitivity),53.0,-8.0,Celtic,Indo-European,Phonology
irm,Irish (Munster),5,Unbounded: Stress can be anywhere,52.5,-9.0,Celtic,Indo-European,Phonology
ita,Italian,3,Right-edge: Ultimate or penultimate,43.0,12.0,Romance,Indo-European,Phonology
jak,Jakaltek,8,Fixed stress (no weight-sensitivity),15.6666666667,-91.6666666667,Mayan,Mayan,Phonology
jaq,Jaqaru,8,Fixed stress (no weight-sensitivity),-13.0,-76.0,Aymaran,Aymaran,Phonology
jav,Javanese,3,Right-edge: Ultimate or penultimate,-7.0,111.0,Javanese,Austronesian,Phonology
jum,Júma,8,Fixed stress (no weight-sensitivity),-7.5,-64.0,Maweti-Guarani,Tupian,Phonology
kli,Kaili,8,Fixed stress (no weight-sensitivity),-1.16666666667,120.0,Celebic,Austronesian,Phonology
kaw,Kaiwá,8,Fixed stress (no weight-sensitivity),-23.0,-55.0,Maweti-Guarani,Tupian,Phonology
kal,Kalami,8,Fixed stress (no weight-sensitivity),35.5,72.5,Indic,Indo-European,Phonology
klp,Kalapuya,8,Fixed stress (no weight-sensitivity),44.5,-123.0,Kalapuyan,Kalapuyan,Phonology
kgu,Kalkatungu,8,Fixed stress (no weight-sensitivity),-21.0,139.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kam,Kambera,8,Fixed stress (no weight-sensitivity),-9.83333333333,120.166666667,Central Malayo-Polynesian,Austronesian,Phonology
kra,Kara (in Papua New Guinea),5,Unbounded: Stress can be anywhere,-2.83333333333,151.116666667,Oceanic,Austronesian,Phonology
krl,Karelian,8,Fixed stress (no weight-sensitivity),64.0,32.0,Finnic,Uralic,Phonology
krk,Karok,5,Unbounded: Stress can be anywhere,41.6666666667,-123.0,Karok,Hokan,Phonology
ksh,Kashaya,2,Left-oriented: One of the first three,38.6666666667,-123.333333333,Pomoan,Hokan,Phonology
kaj,Kaure,5,Unbounded: Stress can be anywhere,-3.41666666667,140.083333333,Kaure,Kaure,Phonology
kws,Kawaiisu,3,Right-edge: Ultimate or penultimate,36.0,-117.5,Northern Uto-Aztecan,Uto-Aztecan,Phonology
kay,Kayardild,8,Fixed stress (no weight-sensitivity),-17.05,139.5,Tangkic,Tangkic,Phonology
kei,Kei,8,Fixed stress (no weight-sensitivity),-5.83333333333,132.916666667,Central Malayo-Polynesian,Austronesian,Phonology
kap,Kela (Apoze),8,Fixed stress (no weight-sensitivity),-7.41666666667,147.083333333,Oceanic,Austronesian,Phonology
ker,Kera,5,Unbounded: Stress can be anywhere,9.83333333333,15.0833333333,East Chadic,Afro-Asiatic,Phonology
ktn,Ketengban,7,Not predictable,-4.5,140.5,Mek,Trans-New Guinea,Phonology
kew,Kewa,7,Not predictable,-6.5,143.833333333,Enga_Kewa-Huli,Trans-New Guinea,Phonology
kha,Khalkha,5,Unbounded: Stress can be anywhere,47.0,105.0,Mongolic,Altaic,Phonology
khs,Khasi,8,Fixed stress (no weight-sensitivity),25.5,92.0,Khasian,Austro-Asiatic,Phonology
khm,Khmer,8,Fixed stress (no weight-sensitivity),12.5,105.0,Khmer,Austro-Asiatic,Phonology
kmu,Khmu',8,Fixed stress (no weight-sensitivity),21.0,102.0,Khmuic,Austro-Asiatic,Phonology
klv,Kilivila,3,Right-edge: Ultimate or penultimate,-8.5,151.083333333,Oceanic,Austronesian,Phonology
ksr,Kisar,8,Fixed stress (no weight-sensitivity),-8.08333333333,127.116666667,Central Malayo-Polynesian,Austronesian,Phonology
kit,Kitsai,7,Not predictable,31.8333333333,-96.5,Northern Caddoan,Caddoan,Phonology
klm,Klamath,5,Unbounded: Stress can be anywhere,42.5,-121.5,Klamath-Modoc,Penutian,Phonology
koa,Koasati,3,Right-edge: Ultimate or penultimate,34.8333333333,-85.1666666667,Muskogean,Muskogean,Phonology
kob,Kobon,8,Fixed stress (no weight-sensitivity),-5.16666666667,144.333333333,Kalam-Kobon,Trans-New Guinea,Phonology
koo,Kola,8,Fixed stress (no weight-sensitivity),-5.5,134.5,Central Malayo-Polynesian,Austronesian,Phonology
kop,Komi-Permyak,5,Unbounded: Stress can be anywhere,59.5,54.5,Permic,Uralic,Phonology
kon,Kongo,8,Fixed stress (no weight-sensitivity),-5.0,15.0,Bantu,Niger-Congo,Phonology
kjo,Konjo,8,Fixed stress (no weight-sensitivity),-5.46666666667,120.333333333,South Sulawesi,Austronesian,Phonology
kfe,Koromfe,8,Fixed stress (no weight-sensitivity),14.25,-0.916666666667,Koromfe,Niger-Congo,Phonology
koy,Koya,8,Fixed stress (no weight-sensitivity),17.5,81.3333333333,Dravidian,Dravidian,Phonology
kro,Krongo,5,Unbounded: Stress can be anywhere,10.5,30.0,Kadugli,Kadu,Phonology
kya,Kuku-Yalanji,8,Fixed stress (no weight-sensitivity),-16.0,145.0,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kuz,Kulamanen,3,Right-edge: Ultimate or penultimate,7.75,125.0,Greater Central Philippine,Austronesian,Phonology
knm,Kunama,4,Right-oriented: One of the last three,14.5,37.0,Kunama,Kunama,Phonology
kjn,Kunjen,8,Fixed stress (no weight-sensitivity),-16.5,142.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kut,Kutenai,8,Fixed stress (no weight-sensitivity),49.5,-116.0,Kutenai,Kutenai,Phonology
kuu,Kuuku Ya'u,5,Unbounded: Stress can be anywhere,-12.5833333333,143.083333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
kwa,Kwaio,8,Fixed stress (no weight-sensitivity),-8.95,161.0,Oceanic,Austronesian,Phonology
kwk,Kwakw'ala,5,Unbounded: Stress can be anywhere,51.0,-127.0,Northern Wakashan,Wakashan,Phonology
lmh,Lamaholot,3,Right-edge: Ultimate or penultimate,-8.25,122.916666667,Central Malayo-Polynesian,Austronesian,Phonology
lmp,Lampung,8,Fixed stress (no weight-sensitivity),-5.0,105.0,Lampungic,Austronesian,Phonology
lla,Lamu-Lamu,8,Fixed stress (no weight-sensitivity),-14.8333333333,144.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
lan,Lango,8,Fixed stress (no weight-sensitivity),2.16666666667,33.0,Western Nilotic,Eastern Sudanic,Phonology
lar,Laragia,2,Left-oriented: One of the first three,-12.6666666667,130.833333333,Laragiya,Darwin Region,Phonology
lrk,Larike,8,Fixed stress (no weight-sensitivity),-3.75,127.916666667,Central Malayo-Polynesian,Austronesian,Phonology
lat,Latvian,8,Fixed stress (no weight-sensitivity),57.0,24.0,Baltic,Indo-European,Phonology
lje,Lauje,8,Fixed stress (no weight-sensitivity),-0.5,120.0,Celebic,Austronesian,Phonology
lav,Lavukaleve,8,Fixed stress (no weight-sensitivity),-9.08333333333,159.2,Lavukaleve,Solomons East Papuan,Phonology
len,Lenakel,8,Fixed stress (no weight-sensitivity),-19.45,169.25,Oceanic,Austronesian,Phonology
let,Leti,3,Right-edge: Ultimate or penultimate,-8.2,127.666666667,Central Malayo-Polynesian,Austronesian,Phonology
lez,Lezgian,1,Left-edge: First or second,41.6666666667,47.8333333333,Lezgic,Nakh-Daghestanian,Phonology
lit,Lithuanian,5,Unbounded: Stress can be anywhere,55.0,24.0,Baltic,Indo-European,Phonology
liv,Liv,8,Fixed stress (no weight-sensitivity),56.8333333333,24.0,Finnic,Uralic,Phonology
ara,Lokono,8,Fixed stress (no weight-sensitivity),5.5,-55.1666666667,Antillean Arawakan,Arawakan,Phonology
lui,Luiseño,1,Left-edge: First or second,33.3333333333,-117.166666667,Northern Uto-Aztecan,Uto-Aztecan,Phonology
luv,Luvale,8,Fixed stress (no weight-sensitivity),-12.0,22.0,Bantu,Niger-Congo,Phonology
myn,Ma'anyan,8,Fixed stress (no weight-sensitivity),-2.0,115.0,Barito,Austronesian,Phonology
mcd,Macedonian,8,Fixed stress (no weight-sensitivity),41.6666666667,21.75,Slavic,Indo-European,Phonology
mac,Macushi,8,Fixed stress (no weight-sensitivity),4.0,-60.0,Cariban,Cariban,Phonology
mdm,Madimadi,1,Left-edge: First or second,-34.5,143.5,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
mae,Mae,8,Fixed stress (no weight-sensitivity),-16.0,167.25,Oceanic,Austronesian,Phonology
mne,Maidu (Northeast),1,Left-edge: First or second,40.0,-120.666666667,Maiduan,Penutian,Phonology
mrs,Mairasi,3,Right-edge: Ultimate or penultimate,-3.5,134.0,Mairasic,Mairasic,Phonology
mai,Maithili,4,Right-oriented: One of the last three,26.0,86.0,Indic,Indo-European,Phonology
mak,Makah,1,Left-edge: First or second,48.3333333333,-124.666666667,Southern Wakashan,Wakashan,Phonology
mks,Makassar,8,Fixed stress (no weight-sensitivity),-5.41666666667,119.583333333,South Sulawesi,Austronesian,Phonology
mlc,Malacca Creole,3,Right-edge: Ultimate or penultimate,2.2,102.25,Creoles and Pidgins,other,Phonology
mal,Malagasy,8,Fixed stress (no weight-sensitivity),-20.0,47.0,Barito,Austronesian,Phonology
mlk,Malakmalak,1,Left-edge: First or second,-13.4166666667,130.416666667,Northern Daly,Northern Daly,Phonology
mly,Malay,3,Right-edge: Ultimate or penultimate,3.0,102.0,Malayo-Sumbawan,Austronesian,Phonology
mym,Malayalam,1,Left-edge: First or second,10.0,76.5,Dravidian,Dravidian,Phonology
mlt,Maltese,3,Right-edge: Ultimate or penultimate,35.9166666667,14.4166666667,Semitic,Afro-Asiatic,Phonology
mam,Mam,6,Combined: Right-edge and unbounded,15.0,-91.8333333333,Mayan,Mayan,Phonology
mms,Mamasa,8,Fixed stress (no weight-sensitivity),-3.08333333333,119.666666667,South Sulawesi,Austronesian,Phonology
mnm,Manam,4,Right-oriented: One of the last three,-4.0,145.0,Oceanic,Austronesian,Phonology
mnd,Mandarin,7,Not predictable,34.0,110.0,Chinese,Sino-Tibetan,Phonology
myi,Mangarrayi,8,Fixed stress (no weight-sensitivity),-14.6666666667,133.5,Mangarrayi,Mangarrayi-Maran,Phonology
mng,Manggarai,3,Right-edge: Ultimate or penultimate,-8.5,120.333333333,Central Malayo-Polynesian,Austronesian,Phonology
mns,Mansi,8,Fixed stress (no weight-sensitivity),62.0,62.0,Ugric,Uralic,Phonology
mnj,Mantjiltjara,8,Fixed stress (no weight-sensitivity),-22.6666666667,125.083333333,Western Pama-Nyungan,Pama-Nyungan,Phonology
mnx,Manx,8,Fixed stress (no weight-sensitivity),54.1666666667,-4.5,Celtic,Indo-European,Phonology
mao,Maori,5,Unbounded: Stress can be anywhere,-40.0,176.0,Oceanic,Austronesian,Phonology
map,Mapudungun,8,Fixed stress (no weight-sensitivity),-38.0,-72.0,Araucanian,Araucanian,Phonology
mku,Maranungku,8,Fixed stress (no weight-sensitivity),-13.6666666667,130.0,Wagaydy,Western Daly,Phonology
mny,Margany,8,Fixed stress (no weight-sensitivity),-27.0,144.5,Northern Pama-Nyungan,Pama-Nyungan,Phonology
mah,Mari (Hill),6,Combined: Right-edge and unbounded,57.0,58.0,Mari,Uralic,Phonology
mme,Mari (Meadow),5,Unbounded: Stress can be anywhere,57.0,48.0,Mari,Uralic,Phonology
mar,Maricopa,8,Fixed stress (no weight-sensitivity),33.1666666667,-113.166666667,Yuman,Hokan,Phonology
mrd,Marind,8,Fixed stress (no weight-sensitivity),-7.83333333333,140.166666667,Marind-Yaqay,Trans-New Guinea,Phonology
mrt,Martuthunira,8,Fixed stress (no weight-sensitivity),-20.8333333333,116.5,Western Pama-Nyungan,Pama-Nyungan,Phonology
mau,Maung,8,Fixed stress (no weight-sensitivity),-11.9166666667,133.5,Iwaidjan,Iwaidjan,Phonology
may,Maybrat,8,Fixed stress (no weight-sensitivity),-1.33333333333,132.5,Maybrat,Maybrat,Phonology
myy,Mayi-Yapi,8,Fixed stress (no weight-sensitivity),-20.0,141.0,Northern Pama-Nyungan,Pama-Nyungan,Phonology
mbb,Mbabaram,8,Fixed stress (no weight-sensitivity),-17.1666666667,145.0,Northern Pama-Nyungan,Pama-Nyungan,Phonology
meb,Melayu Betawi,3,Right-edge: Ultimate or penultimate,-6.5,107.0,Creoles and Pidgins,other,Phonology
men,Menomini,5,Unbounded: Stress can be anywhere,45.5,-88.3333333333,Algonquian,Algic,Phonology
mnt,Mentawai,8,Fixed stress (no weight-sensitivity),-1.5,99.0,Northwest Sumatra-Barrier Islands,Austronesian,Phonology
mta,Mentuh Tapuh,8,Fixed stress (no weight-sensitivity),1.25,111.0,Land Dayak,Austronesian,Phonology
mea,Meyah,7,Not predictable,-1.16666666667,133.5,East Bird's Head,East Bird's Head,Phonology
min,Minangkabau,8,Fixed stress (no weight-sensitivity),-1.0,101.0,Malayo-Sumbawan,Austronesian,Phonology
mis,Miskito,8,Fixed stress (no weight-sensitivity),14.0,-83.6666666667,Misumalpan,Misumalpan,Phonology
mcs,Miwok (Central Sierra),1,Left-edge: First or second,38.0,-120.333333333,Miwok,Penutian,Phonology
mwn,Miwok (Northern Sierra),1,Left-edge: First or second,38.3333333333,-120.666666667,Miwok,Penutian,Phonology
mss,Miwok (Southern Sierra),1,Left-edge: First or second,37.5,-120.0,Miwok,Penutian,Phonology
moh,Mohawk,8,Fixed stress (no weight-sensitivity),43.5,-74.25,Northern Iroquoian,Iroquoian,Phonology
mgd,Mongondow,8,Fixed stress (no weight-sensitivity),0.666666666667,124.0,Greater Central Philippine,Austronesian,Phonology
mmo,Mordvin (Moksha),5,Unbounded: Stress can be anywhere,54.0,44.0,Mordvin,Uralic,Phonology
mna,Muna,8,Fixed stress (no weight-sensitivity),-5.0,122.5,Celebic,Austronesian,Phonology
mun,Mundari,3,Right-edge: Ultimate or penultimate,23.0,84.6666666667,Munda,Austro-Asiatic,Phonology
mse,Munsee,4,Right-oriented: One of the last three,41.5,-74.6666666667,Algonquian,Algic,Phonology
mrk,Murik,5,Unbounded: Stress can be anywhere,-3.83333333333,144.25,Lower Sepik,Ramu-Lower Sepik,Phonology
mrl,Murle,5,Unbounded: Stress can be anywhere,6.5,33.5,South Surmic,Eastern Sudanic,Phonology
mrw,Muruwari,5,Unbounded: Stress can be anywhere,-28.75,147.0,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
nht,Nahuatl (Tetelcingo),8,Fixed stress (no weight-sensitivity),19.6666666667,-99.0,Aztecan,Uto-Aztecan,Phonology
nbb,Nambas (Big),8,Fixed stress (no weight-sensitivity),-16.0833333333,167.2,Oceanic,Austronesian,Phonology
nmb,Nambikuára (Southern),8,Fixed stress (no weight-sensitivity),-14.0,-59.5,Nambikuaran,Nambikuaran,Phonology
npu,Napu,8,Fixed stress (no weight-sensitivity),-1.33333333333,120.416666667,Celebic,Austronesian,Phonology
ndy,Ndyuka,5,Unbounded: Stress can be anywhere,4.5,-54.5,Creoles and Pidgins,other,Phonology
